"","Tb.Sp","MIP1a","HIF1a","BMP2","NTXI","COX2","IL17","MMP9","PECAM1"
"Tb.Sp",1,0.867905056759546,0.853457172342621,0.834881320949432,0.830753353973168,0.849329205366357,0.853457172342621,0.5562435500516,0.902992776057791
"MIP1a",0.867905056759546,1,0.836945304437564,0.86171310629515,0.91124871001032,0.896800825593395,0.855521155830753,0.702786377708978,0.886480908152735
"HIF1a",0.853457172342621,0.836945304437564,1,0.931888544891641,0.834881320949432,0.884416924664603,0.770897832817337,0.729618163054696,0.865841073271414
"BMP2",0.834881320949432,0.86171310629515,0.931888544891641,1,0.900928792569659,0.956656346749226,0.882352941176471,0.828689370485036,0.859649122807018
"NTXI",0.830753353973168,0.91124871001032,0.834881320949432,0.900928792569659,1,0.940144478844169,0.853457172342621,0.777089783281734,0.87203302373581
"COX2",0.849329205366357,0.896800825593395,0.884416924664603,0.956656346749226,0.940144478844169,1,0.917440660474716,0.82249742002064,0.867905056759546
"IL17",0.853457172342621,0.855521155830753,0.770897832817337,0.882352941176471,0.853457172342621,0.917440660474716,1,0.630546955624355,0.8328173374613
"MMP9",0.5562435500516,0.702786377708978,0.729618163054696,0.828689370485036,0.777089783281734,0.82249742002064,0.630546955624355,1,0.632610939112487
"PECAM1",0.902992776057791,0.886480908152735,0.865841073271414,0.859649122807018,0.87203302373581,0.867905056759546,0.8328173374613,0.632610939112487,1
