"Factor","Shapiro_p_value"
"MIP1a",0.00908123662915315
"HIF1a",0.0274761536878066
"BMP2",0.042243835968488
"NTXI",0.00686823772521679
"COX2",0.0114283872641563
"IL17",0.0341724185715465
"MMP9",0.00859077711443569
"PECAM1",0.00595805548106367
